date,jour,heure,activite,coach,inscrits,capacite,remplissage,complet,session_id,releve
2026-05-28,Jeudi,14:45,Rituel Libre 70',Guide Rituel,10,10,10/10,oui,8512,2026-05-28
2026-05-28,Jeudi,15:00,Rituel Libre 70',Guide Rituel,8,20,8/20,non,8328,2026-05-28
2026-05-28,Jeudi,16:30,Rituel Guidé : Signature,Deborah,25,38,25/38,non,8333,2026-05-28
2026-05-28,Jeudi,17:45,Rituel Libre : Social,Guide Rituel,10,10,10/10,oui,8338,2026-05-28
2026-05-28,Jeudi,18:00,Rituel Libre : Social,Guide Rituel,15,15,15/15,oui,8344,2026-05-28
2026-05-28,Jeudi,18:30,Rituel Libre : Social,Guide Rituel,5,25,5/25,non,8349,2026-05-28
2026-05-29,Vendredi,08:30,Rituel Libre : Silencieux,Guide Rituel,6,20,6/20,non,8617,2026-05-28
2026-05-29,Vendredi,08:45,Rituel Libre : Silencieux,Guide Rituel,5,10,5/10,non,8621,2026-05-28
2026-05-29,Vendredi,10:15,Rituel Guidé : Signature,Celine D’agostini,22,38,22/38,non,8625,2026-05-28
2026-05-29,Vendredi,11:30,Rituel Libre 70',Guide Rituel,1,10,1/10,non,8629,2026-05-28
2026-05-29,Vendredi,14:45,Rituel Libre 70',Guide Rituel,5,10,5/10,non,8513,2026-05-28
2026-05-29,Vendredi,15:00,Rituel Libre 70',Guide Rituel,6,20,6/20,non,8637,2026-05-28
2026-05-29,Vendredi,16:30,Rituel Guidé : Signature,Celine D’agostini,23,38,23/38,non,9114,2026-05-28
2026-05-29,Vendredi,17:45,Rituel Libre 70',Guide Rituel,10,10,10/10,oui,8642,2026-05-28
2026-05-29,Vendredi,18:00,Rituel Libre 70',Guide Rituel,6,15,6/15,non,8646,2026-05-28
2026-05-30,Samedi,07:45,Rituel Libre 70',,0,10,0/10,non,9411,2026-05-28
2026-05-30,Samedi,08:00,Rituel Libre 70',Guide Rituel,8,15,8/15,non,8382,2026-05-28
2026-05-30,Samedi,08:15,Rituel Libre 70',,3,8,3/8,non,9412,2026-05-28
2026-05-30,Samedi,09:45,Rituel Guidé : Signature,Adèle,26,38,26/38,non,8392,2026-05-28
2026-05-30,Samedi,11:00,Rituel Libre 70',Guide Rituel,2,10,2/10,non,8402,2026-05-28
2026-05-30,Samedi,11:15,Rituel Libre 70',Guide Rituel,3,10,3/10,non,8422,2026-05-28
2026-05-30,Samedi,11:30,Rituel Libre 70',Guide Rituel,0,10,0/10,non,8432,2026-05-28
2026-05-30,Samedi,13:45,Rituel Libre 70',Guide Rituel,6,20,6/20,non,8442,2026-05-28
2026-05-30,Samedi,14:00,Rituel Libre 70',Guide Rituel,6,10,6/10,non,8452,2026-05-28
2026-05-30,Samedi,15:30,Rituel Guidé : Signature,Deborah,12,38,12/38,non,8459,2026-05-28
2026-05-30,Samedi,16:45,Rituel Libre 70',Guide Rituel,3,10,3/10,non,8467,2026-05-28
